Отделение,"Сумма Сумма со скидкой, р."
Курашова 6,11751891.73
Дзержинского 32,10646826.85
Кирова 13,5980888.77
ДОСТАВКА Кузьмина 26\4,5620053.4
Велюйский тракт 5 км  34 Булочка,2714523.45
Авиационная 3,1164263.02
Курашова 22,98096.8
Алексеева 14,0
Ойунского 25 а,0
